system:index,cloud_percentage,date_yyyymmdd,ee_image_id,hydrological_year,image_date,image_entry,mgrs_tile,spacecraft,system_index,ee_image_asset
20151113T105302_20151113T105818_T30SWG,1.340094,20151113,20151113T105302_20151113T105818_T30SWG,2015-2016,2015-11-13,2015-11-13 | 20151113T105302_20151113T105818_T30SWG,30SWG,Sentinel-2A,20151113T105302_20151113T105818_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20151113T105302_20151113T105818_T30SWG
20151116T110322_20151116T110736_T30SWG,0.025636,20151116,20151116T110322_20151116T110736_T30SWG,2015-2016,2015-11-16,2015-11-16 | 20151116T110322_20151116T110736_T30SWG,30SWG,Sentinel-2A,20151116T110322_20151116T110736_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20151116T110322_20151116T110736_T30SWG
20151203T105422_20151203T105811_T30SWG,0.073131,20151203,20151203T105422_20151203T105811_T30SWG,2015-2016,2015-12-03,2015-12-03 | 20151203T105422_20151203T105811_T30SWG,30SWG,Sentinel-2A,20151203T105422_20151203T105811_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20151203T105422_20151203T105811_T30SWG
20160112T105422_20160112T105613_T30SXG,1.114585,20160112,20160112T105422_20160112T105613_T30SXG,2015-2016,2016-01-12,2016-01-12 | 20160112T105422_20160112T105613_T30SXG,30SXG,Sentinel-2A,20160112T105422_20160112T105613_T30SXG,COPERNICUS/S2_SR_HARMONIZED/20160112T105422_20160112T105613_T30SXG
20160112T105422_20160112T105613_T30SWG,0.416518,20160112,20160112T105422_20160112T105613_T30SWG,2015-2016,2016-01-12,2016-01-12 | 20160112T105422_20160112T105613_T30SWG,30SWG,Sentinel-2A,20160112T105422_20160112T105613_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20160112T105422_20160112T105613_T30SWG
20160201T105252_20160201T105615_T30SXG,0.007996,20160201,20160201T105252_20160201T105615_T30SXG,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SXG,30SXG,Sentinel-2A,20160201T105252_20160201T105615_T30SXG,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SXG
20160201T105252_20160201T105615_T30SWG,0.023049,20160201,20160201T105252_20160201T105615_T30SWG,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SWG,30SWG,Sentinel-2A,20160201T105252_20160201T105615_T30SWG,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SWG
20160201T105252_20160201T105615_T30SXF,0.088633,20160201,20160201T105252_20160201T105615_T30SXF,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SXF,30SXF,Sentinel-2A,20160201T105252_20160201T105615_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SXF
20160302T105042_20160302T110021_T30SXG,1.862665,20160302,20160302T105042_20160302T110021_T30SXG,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SXG,30SXG,Sentinel-2A,20160302T105042_20160302T110021_T30SXG,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SXG
20160302T105042_20160302T110021_T30SXF,0.162455,20160302,20160302T105042_20160302T110021_T30SXF,2015-2016,2016-03-02,2016-03-02 | 20160302T105042_20160302T110021_T30SXF,30SXF,Sentinel-2A,20160302T105042_20160302T110021_T30SXF,COPERNICUS/S2_SR_HARMONIZED/20160302T105042_20160302T110021_T30SXF
