system:index,cloud_percentage,date_yyyymmdd,ee_image_id,hydrological_year,image_date,image_entry,mgrs_tile,product_name,product_status,product_type,spacecraft,system_index,visualization_method,ee_image_asset
0,1.340094,20151113,20151113T105302_20151113T105818_T30SWG,2015-2016,2015-11-13,2015-11-13 | 20151113T105302_20151113T105818_T30SWG,30SWG,NDVI_20151113_20151113T105302_20151113T105818_T30SWG,Indexed for Python dashboard,NDVI,Sentinel-2A,20151113T105302_20151113T105818_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151113T105302_20151113T105818_T30SWG
1,1.340094,20151113,20151113T105302_20151113T105818_T30SWG,2015-2016,2015-11-13,2015-11-13 | 20151113T105302_20151113T105818_T30SWG,30SWG,NDWI_20151113_20151113T105302_20151113T105818_T30SWG,Indexed for Python dashboard,NDWI,Sentinel-2A,20151113T105302_20151113T105818_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151113T105302_20151113T105818_T30SWG
2,1.340094,20151113,20151113T105302_20151113T105818_T30SWG,2015-2016,2015-11-13,2015-11-13 | 20151113T105302_20151113T105818_T30SWG,30SWG,NDDI_20151113_20151113T105302_20151113T105818_T30SWG,Indexed for Python dashboard,NDDI,Sentinel-2A,20151113T105302_20151113T105818_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151113T105302_20151113T105818_T30SWG
3,1.340094,20151113,20151113T105302_20151113T105818_T30SWG,2015-2016,2015-11-13,2015-11-13 | 20151113T105302_20151113T105818_T30SWG,30SWG,RF_Risk_Map_20151113_20151113T105302_20151113T105818_T30SWG,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20151113T105302_20151113T105818_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151113T105302_20151113T105818_T30SWG
4,0.025636,20151116,20151116T110322_20151116T110736_T30SWG,2015-2016,2015-11-16,2015-11-16 | 20151116T110322_20151116T110736_T30SWG,30SWG,NDVI_20151116_20151116T110322_20151116T110736_T30SWG,Indexed for Python dashboard,NDVI,Sentinel-2A,20151116T110322_20151116T110736_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151116T110322_20151116T110736_T30SWG
5,0.025636,20151116,20151116T110322_20151116T110736_T30SWG,2015-2016,2015-11-16,2015-11-16 | 20151116T110322_20151116T110736_T30SWG,30SWG,NDWI_20151116_20151116T110322_20151116T110736_T30SWG,Indexed for Python dashboard,NDWI,Sentinel-2A,20151116T110322_20151116T110736_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151116T110322_20151116T110736_T30SWG
6,0.025636,20151116,20151116T110322_20151116T110736_T30SWG,2015-2016,2015-11-16,2015-11-16 | 20151116T110322_20151116T110736_T30SWG,30SWG,NDDI_20151116_20151116T110322_20151116T110736_T30SWG,Indexed for Python dashboard,NDDI,Sentinel-2A,20151116T110322_20151116T110736_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151116T110322_20151116T110736_T30SWG
7,0.025636,20151116,20151116T110322_20151116T110736_T30SWG,2015-2016,2015-11-16,2015-11-16 | 20151116T110322_20151116T110736_T30SWG,30SWG,RF_Risk_Map_20151116_20151116T110322_20151116T110736_T30SWG,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20151116T110322_20151116T110736_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151116T110322_20151116T110736_T30SWG
8,0.073131,20151203,20151203T105422_20151203T105811_T30SWG,2015-2016,2015-12-03,2015-12-03 | 20151203T105422_20151203T105811_T30SWG,30SWG,NDVI_20151203_20151203T105422_20151203T105811_T30SWG,Indexed for Python dashboard,NDVI,Sentinel-2A,20151203T105422_20151203T105811_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151203T105422_20151203T105811_T30SWG
9,0.073131,20151203,20151203T105422_20151203T105811_T30SWG,2015-2016,2015-12-03,2015-12-03 | 20151203T105422_20151203T105811_T30SWG,30SWG,NDWI_20151203_20151203T105422_20151203T105811_T30SWG,Indexed for Python dashboard,NDWI,Sentinel-2A,20151203T105422_20151203T105811_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151203T105422_20151203T105811_T30SWG
10,0.073131,20151203,20151203T105422_20151203T105811_T30SWG,2015-2016,2015-12-03,2015-12-03 | 20151203T105422_20151203T105811_T30SWG,30SWG,NDDI_20151203_20151203T105422_20151203T105811_T30SWG,Indexed for Python dashboard,NDDI,Sentinel-2A,20151203T105422_20151203T105811_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151203T105422_20151203T105811_T30SWG
11,0.073131,20151203,20151203T105422_20151203T105811_T30SWG,2015-2016,2015-12-03,2015-12-03 | 20151203T105422_20151203T105811_T30SWG,30SWG,RF_Risk_Map_20151203_20151203T105422_20151203T105811_T30SWG,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20151203T105422_20151203T105811_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20151203T105422_20151203T105811_T30SWG
12,1.114585,20160112,20160112T105422_20160112T105613_T30SXG,2015-2016,2016-01-12,2016-01-12 | 20160112T105422_20160112T105613_T30SXG,30SXG,NDVI_20160112_20160112T105422_20160112T105613_T30SXG,Indexed for Python dashboard,NDVI,Sentinel-2A,20160112T105422_20160112T105613_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160112T105422_20160112T105613_T30SXG
13,1.114585,20160112,20160112T105422_20160112T105613_T30SXG,2015-2016,2016-01-12,2016-01-12 | 20160112T105422_20160112T105613_T30SXG,30SXG,NDWI_20160112_20160112T105422_20160112T105613_T30SXG,Indexed for Python dashboard,NDWI,Sentinel-2A,20160112T105422_20160112T105613_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160112T105422_20160112T105613_T30SXG
14,1.114585,20160112,20160112T105422_20160112T105613_T30SXG,2015-2016,2016-01-12,2016-01-12 | 20160112T105422_20160112T105613_T30SXG,30SXG,NDDI_20160112_20160112T105422_20160112T105613_T30SXG,Indexed for Python dashboard,NDDI,Sentinel-2A,20160112T105422_20160112T105613_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160112T105422_20160112T105613_T30SXG
15,1.114585,20160112,20160112T105422_20160112T105613_T30SXG,2015-2016,2016-01-12,2016-01-12 | 20160112T105422_20160112T105613_T30SXG,30SXG,RF_Risk_Map_20160112_20160112T105422_20160112T105613_T30SXG,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160112T105422_20160112T105613_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160112T105422_20160112T105613_T30SXG
16,0.416518,20160112,20160112T105422_20160112T105613_T30SWG,2015-2016,2016-01-12,2016-01-12 | 20160112T105422_20160112T105613_T30SWG,30SWG,NDVI_20160112_20160112T105422_20160112T105613_T30SWG,Indexed for Python dashboard,NDVI,Sentinel-2A,20160112T105422_20160112T105613_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160112T105422_20160112T105613_T30SWG
17,0.416518,20160112,20160112T105422_20160112T105613_T30SWG,2015-2016,2016-01-12,2016-01-12 | 20160112T105422_20160112T105613_T30SWG,30SWG,NDWI_20160112_20160112T105422_20160112T105613_T30SWG,Indexed for Python dashboard,NDWI,Sentinel-2A,20160112T105422_20160112T105613_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160112T105422_20160112T105613_T30SWG
18,0.416518,20160112,20160112T105422_20160112T105613_T30SWG,2015-2016,2016-01-12,2016-01-12 | 20160112T105422_20160112T105613_T30SWG,30SWG,NDDI_20160112_20160112T105422_20160112T105613_T30SWG,Indexed for Python dashboard,NDDI,Sentinel-2A,20160112T105422_20160112T105613_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160112T105422_20160112T105613_T30SWG
19,0.416518,20160112,20160112T105422_20160112T105613_T30SWG,2015-2016,2016-01-12,2016-01-12 | 20160112T105422_20160112T105613_T30SWG,30SWG,RF_Risk_Map_20160112_20160112T105422_20160112T105613_T30SWG,Indexed for Python dashboard,RF Risk Map,Sentinel-2A,20160112T105422_20160112T105613_T30SWG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160112T105422_20160112T105613_T30SWG
20,0.007996,20160201,20160201T105252_20160201T105615_T30SXG,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SXG,30SXG,NDVI_20160201_20160201T105252_20160201T105615_T30SXG,Indexed for Python dashboard,NDVI,Sentinel-2A,20160201T105252_20160201T105615_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SXG
21,0.007996,20160201,20160201T105252_20160201T105615_T30SXG,2015-2016,2016-02-01,2016-02-01 | 20160201T105252_20160201T105615_T30SXG,30SXG,NDWI_20160201_20160201T105252_20160201T105615_T30SXG,Indexed for Python dashboard,NDWI,Sentinel-2A,20160201T105252_20160201T105615_T30SXG,Displayed dynamically in Python/Streamlit dashboard,COPERNICUS/S2_SR_HARMONIZED/20160201T105252_20160201T105615_T30SXG
