year,indicator,score_0_100
2015-2016,Vegetation condition,0.0
2015-2016,Surface moisture,100.0
2015-2016,NDDI drought intensity,0.0
2015-2016,Combined surface stress,33.33
2016-2017,Vegetation condition,26.33
2016-2017,Surface moisture,80.26
2016-2017,NDDI drought intensity,41.54
2016-2017,Combined surface stress,44.98
2017-2018,Vegetation condition,76.18
2017-2018,Surface moisture,42.63
2017-2018,NDDI drought intensity,89.71
2017-2018,Combined surface stress,56.97
2018-2019,Vegetation condition,58.62
2018-2019,Surface moisture,60.37
2018-2019,NDDI drought intensity,79.83
2018-2019,Combined surface stress,53.61
2019-2020,Vegetation condition,71.58
2019-2020,Surface moisture,39.63
2019-2020,NDDI drought intensity,76.03
2019-2020,Combined surface stress,54.94
2020-2021,Vegetation condition,55.07
2020-2021,Surface moisture,54.22
2020-2021,NDDI drought intensity,53.45
2020-2021,Combined surface stress,48.05
2021-2022,Vegetation condition,100.0
2021-2022,Surface moisture,0.0
2021-2022,NDDI drought intensity,82.26
2021-2022,Combined surface stress,60.75
2022-2023,Vegetation condition,87.57
2022-2023,Surface moisture,23.61
2022-2023,NDDI drought intensity,100.0
2022-2023,Combined surface stress,62.94
2023-2024,Vegetation condition,19.02
2023-2024,Surface moisture,93.56
2023-2024,NDDI drought intensity,54.46
2023-2024,Combined surface stress,47.29
2024-2025,Vegetation condition,21.0
2024-2025,Surface moisture,91.56
2024-2025,NDDI drought intensity,44.35
2024-2025,Combined surface stress,43.93
