year,high_percent,very_high_percent,high_very_high_percent,high_area_ha,very_high_area_ha,high_very_high_area_ha
2015-2016,42.69,1.11,43.8,20029.21,521.14,20550.35
2016-2017,54.21,1.65,55.86,25434.04,775.2,26209.24
2017-2018,42.65,2.65,45.3,20010.36,1242.21,21252.57
2018-2019,24.11,15.86,39.97,11309.56,7442.71,18752.27
2019-2020,9.94,17.61,27.55,4663.42,8263.69,12927.11
2020-2021,6.96,31.18,38.14,3263.09,14629.59,17892.68
2021-2022,19.92,23.66,43.58,9344.25,11100.77,20445.02
2022-2023,20.81,31.28,52.09,9762.04,14674.29,24436.33
2023-2024,6.31,28.64,34.95,2958.66,13438.6,16397.26
2024-2025,6.62,27.99,34.61,3106.13,13133.73,16239.86
