year,risk_value,risk_class,cell_count,area_m2,area_ha,percentage
2015-2016,1,Very Low,576820,57682000,5768.2,12.3
2015-2016,2,Low,737537,73753700,7375.37,15.72
2015-2016,3,Moderate,1322093,132209300,13220.93,28.18
2015-2016,4,High,2002921,200292100,20029.21,42.69
2015-2016,5,Very High,52114,5211400,521.14,1.11
2016-2017,1,Very Low,673192,67319200,6731.92,14.35
2016-2017,2,Low,967377,96737700,9673.77,20.62
2016-2017,3,Moderate,429992,42999200,4299.92,9.17
2016-2017,4,High,2543404,254340400,25434.04,54.21
2016-2017,5,Very High,77520,7752000,775.2,1.65
2017-2018,1,Very Low,671971,67197100,6719.71,14.32
2017-2018,2,Low,1149339,114933900,11493.39,24.5
2017-2018,3,Moderate,744918,74491800,7449.18,15.88
2017-2018,4,High,2001036,200103600,20010.36,42.65
2017-2018,5,Very High,124221,12422100,1242.21,2.65
2018-2019,1,Very Low,864030,86403000,8640.3,18.42
2018-2019,2,Low,1083816,108381600,10838.16,23.1
2018-2019,3,Moderate,868412,86841200,8684.12,18.51
2018-2019,4,High,1130956,113095600,11309.56,24.11
2018-2019,5,Very High,744271,74427100,7442.71,15.86
2019-2020,1,Very Low,1053667,105366700,10536.67,22.46
2019-2020,2,Low,1256268,125626800,12562.68,26.78
2019-2020,3,Moderate,1088839,108883900,10888.39,23.21
2019-2020,4,High,466342,46634200,4663.42,9.94
2019-2020,5,Very High,826369,82636900,8263.69,17.61
2020-2021,1,Very Low,1290034,129003400,12900.34,27.5
2020-2021,2,Low,894077,89407700,8940.77,19.06
2020-2021,3,Moderate,718106,71810600,7181.06,15.31
2020-2021,4,High,326309,32630900,3263.09,6.96
2020-2021,5,Very High,1462959,146295900,14629.59,31.18
2021-2022,1,Very Low,1012691,101269100,10126.91,21.59
2021-2022,2,Low,695267,69526700,6952.67,14.82
2021-2022,3,Moderate,939025,93902500,9390.25,20.02
2021-2022,4,High,934425,93442500,9344.25,19.92
2021-2022,5,Very High,1110077,111007700,11100.77,23.66
2022-2023,1,Very Low,974912,97491200,9749.12,20.78
2022-2023,2,Low,635437,63543700,6354.37,13.54
2022-2023,3,Moderate,637503,63750300,6375.03,13.59
2022-2023,4,High,976204,97620400,9762.04,20.81
2022-2023,5,Very High,1467429,146742900,14674.29,31.28
2023-2024,1,Very Low,1010835,101083500,10108.35,21.55
2023-2024,2,Low,1093070,109307000,10930.7,23.3
2023-2024,3,Moderate,947854,94785400,9478.54,20.2
2023-2024,4,High,295866,29586600,2958.66,6.31
2023-2024,5,Very High,1343860,134386000,13438.6,28.64
2024-2025,1,Very Low,989714,98971400,9897.14,21.1
2024-2025,2,Low,899861,89986100,8998.61,19.18
2024-2025,3,Moderate,1177924,117792400,11779.24,25.11
2024-2025,4,High,310613,31061300,3106.13,6.62
2024-2025,5,Very High,1313373,131337300,13133.73,27.99
